Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,Female,Sales Executive,Very High,Single,5993,8,Yes,11,Excellent,8,6,4,5
49,No,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,Male,Research Scientist,Medium,Married,5130,1,No,23,Outstanding,10,10,7,7
37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,Male,Laboratory Technician,High,Single,2090,6,Yes,15,Excellent,7,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,Female,Research Scientist,High,Married,2909,1,Yes,11,Excellent,8,8,7,0
27,No,Travel_Rarely,591,Research & Development,2,Below College,Medical,Male,Laboratory Technician,Medium,Married,3468,9,No,12,Excellent,6,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,Male,Laboratory Technician,Very High,Single,3068,0,No,13,Excellent,8,7,7,6
59,No,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,Female,Laboratory Technician,Low,Married,2670,4,Yes,20,Outstanding,12,1,0,0
30,No,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,Male,Laboratory Technician,High,Divorced,2693,1,No,22,Outstanding,1,1,0,0
38,No,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,Male,Manufacturing Director,High,Single,9526,0,No,21,Outstanding,10,9,7,8
36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,Male,Healthcare Representative,High,Married,5237,6,No,13,Excellent,17,7,7,7
35,No,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,Male,Laboratory Technician,Medium,Married,2426,0,No,13,Excellent,6,5,4,3
29,No,Travel_Rarely,153,Research & Development,15,College,Life Sciences,Female,Laboratory Technician,High,Single,4193,0,Yes,12,Excellent,10,9,5,8
31,No,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,Male,Research Scientist,High,Divorced,2911,1,No,17,Excellent,5,5,2,3
34,No,Travel_Rarely,1346,Research & Development,19,College,Medical,Male,Laboratory Technician,Very High,Divorced,2661,0,No,11,Excellent,3,2,2,2
28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,Male,Laboratory Technician,High,Single,2028,5,Yes,14,Excellent,6,4,2,3
29,No,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,Female,Manufacturing Director,Low,Divorced,9980,1,No,11,Excellent,10,10,9,8
32,No,Travel_Rarely,334,Research & Development,5,College,Life Sciences,Male,Research Scientist,Medium,Divorced,3298,0,Yes,12,Excellent,7,6,2,5
22,No,Non-Travel,1123,Research & Development,16,College,Medical,Male,Laboratory Technician,Very High,Divorced,2935,1,Yes,13,Excellent,1,1,0,0
53,No,Travel_Rarely,1219,Sales,2,Master,Life Sciences,Female,Manager,Very High,Married,15427,2,No,16,Excellent,31,25,8,7
38,No,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,Male,Research Scientist,Very High,Single,3944,5,Yes,11,Excellent,6,3,2,2
24,No,Non-Travel,673,Research & Development,11,College,Other,Female,Manufacturing Director,High,Divorced,4011,0,No,18,Excellent,5,4,2,3
